System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
LiCl-LiNO3,3645,----,0.201-0.799,----,----,----,----,----,----,2.05,0.000538,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2274277916761428, 'Cl': 0.045712986126904706, 'N': 0.1817148055492381, 'O': 0.5451444166477144}"
LiCl-LiNO3,3646,----,0.3-0.7,----,----,----,----,----,----,2.032,0.000524,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.24390243902439027, 'Cl': 0.07317073170731708, 'N': 0.17073170731707318, 'O': 0.5121951219512195}"
LiCl-MgCl2,3647,----,0.0-1.0,----,----,----,----,----,----,1.95,0.0002712,----,----,----,0.1645,21555.49,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.6666666666666666, 'Mg': 0.3333333333333333}"
LiCl-MgCl2,3648,----,0.226-0.774,----,----,----,----,----,----,2.1334,0.00044146,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.08147080028839221, 'Cl': 0.6395097332372026, 'Mg': 0.2790194664744052}"
LiCl-MgCl2,3649,----,0.284-0.716,----,----,----,----,----,----,,,----,----,----,0.111,22762.6,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10456553755522828, 'Cl': 0.6318114874815907, 'Mg': 0.26362297496318116}"
LiCl-MgCl2,3650,----,0.436-0.564,----,----,----,----,----,----,2.1623,0.00050348,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1700468018720749, 'Cl': 0.609984399375975, 'Mg': 0.21996879875195008}"
LiCl-MgCl2,3651,----,0.491-0.509,----,----,----,----,----,----,,,----,----,----,0.0883,23262.17,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.19569549621363094, 'Cl': 0.6014348345954563, 'Mg': 0.20286966919091273}"
LiCl-MgCl2,3652,----,0.546-0.454,----,----,----,----,----,----,2.0892,0.00046178,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.22249388753056235, 'Cl': 0.5925020374898126, 'Mg': 0.1850040749796251}"
LiCl-MgCl2,3653,----,0.6-0.4,----,----,----,----,----,----,,,----,----,----,0.1295,19736.26,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5833333333333334, 'Mg': 0.16666666666666669}"
LiCl-MgCl2,3654,----,0.692-0.308,----,----,----,----,----,----,2.1408,0.00055248,----,----,----,0.2355,14485.67,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.29982668977469673, 'Cl': 0.5667244367417678, 'Mg': 0.13344887348353554}"
LiCl-MgCl2,3655,----,0.771-0.229,----,----,----,----,----,----,,,----,----,----,0.1081,20752.99,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3458950201884253, 'Cl': 0.5513683266038583, 'Mg': 0.10273665320771647}"
LiCl-MgCl2,3656,----,0.807-0.193,----,----,----,----,----,----,,,----,----,----,0.08025,22683.52,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.36798905608755134, 'Cl': 0.5440036479708162, 'Mg': 0.08800729594163247}"
LiCl-MgCl2,3657,----,0.82-0.18,----,----,----,----,----,----,2.0351,0.00049534,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3761467889908257, 'Cl': 0.5412844036697249, 'Mg': 0.08256880733944955}"
LiCl-MgCl2,3658,----,0.84-0.16,----,----,----,----,----,----,,,----,----,----,0.09686,21132.48,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.38888888888888895, 'Cl': 0.5370370370370371, 'Mg': 0.07407407407407408}"
LiCl-MgCl2,3659,----,0.9-0.1,----,----,----,----,----,----,,,----,----,----,0.118,19333.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.42857142857142855, 'Cl': 0.5238095238095238, 'Mg': 0.047619047619047616}"
LiCl-MgCl2,3660,----,0.927-0.073,----,----,----,----,----,----,,,----,----,----,0.1139,19393.58,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.44717800289435605, 'Cl': 0.517607332368548, 'Mg': 0.035214664737095995}"
LiCl-MgCl2,3661,----,0.943-0.057,----,----,----,----,----,----,2.4116,0.00089056,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4584346135148274, 'Cl': 0.5138551288283908, 'Mg': 0.02771025765678172}"
LiCl-MgCl2,3662,----,0.953-0.047,----,----,----,----,----,----,,,----,----,----,0.1692,16057.21,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4655593551538838, 'Cl': 0.5114802149487054, 'Mg': 0.022960429897410848}"
LiCl-MgCl2,3663,----,1.0-0.0,----,----,----,----,----,----,1.8561,0.00039698,----,----,----,0.08139,22363.02,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Mg': 0.0}"
LiCl-MnCl2,3664,----,0.0-1.0,----,----,----,----,----,----,2.928,0.000615,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.6666666666666666, 'Mn': 0.3333333333333333}"
LiCl-MnCl2,3665,----,0.1-0.9,----,----,----,----,----,----,2.843,0.00058,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.034482758620689655, 'Cl': 0.6551724137931034, 'Mn': 0.31034482758620685}"
LiCl-MnCl2,3666,----,0.2-0.8,----,----,----,----,----,----,2.713,0.0005,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.07142857142857142, 'Cl': 0.6428571428571428, 'Mn': 0.2857142857142857}"
LiCl-MnCl2,3667,----,0.3-0.7,----,----,----,----,----,----,2.651,0.00049,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.11111111111111112, 'Cl': 0.6296296296296297, 'Mn': 0.25925925925925924}"
LiCl-MnCl2,3668,----,0.4-0.6,----,----,----,----,----,----,2.574,0.000485,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15384615384615385, 'Cl': 0.6153846153846154, 'Mn': 0.23076923076923075}"
LiCl-MnCl2,3669,----,0.6-0.4,----,----,----,----,----,----,2.404,0.000466,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5833333333333334, 'Mn': 0.16666666666666669}"
LiCl-MnCl2,3670,----,0.8-0.2,----,----,----,----,----,----,2.177,0.00045,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.36363636363636365, 'Cl': 0.5454545454545455, 'Mn': 0.09090909090909091}"
LiCl-MnCl2,3671,----,1.0-0.0,----,----,----,----,----,----,1.884,0.000433,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Mn': 0.0}"
LiCl-NaCl,3672,----,0.0-1.0,----,----,----,----,----,----,2.139,0.0005444,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.5, 'Na': 0.5}"
LiCl-NaCl,3673,----,0.5-0.5,----,----,----,----,----,----,2.0121,0.0004858,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5, 'Na': 0.25}"
LiCl-NaCl,3674,----,1.0-0.0,----,----,----,----,----,----,1.8721,0.0004243,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Na': 0.0}"
LiCl-PbCl2,3675,----,0.0-1.0,----,----,----,----,----,----,6.018,0.00138,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.6666666666666666, 'Pb': 0.3333333333333333}"
LiCl-PbCl2,3676,----,0.1-0.9,----,----,----,----,----,----,5.942,0.0015,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.034482758620689655, 'Cl': 0.6551724137931034, 'Pb': 0.31034482758620685}"
LiCl-PbCl2,3677,----,0.2-0.8,----,----,----,----,----,----,5.697,0.00145,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.07142857142857142, 'Cl': 0.6428571428571428, 'Pb': 0.2857142857142857}"
LiCl-PbCl2,3678,----,0.3-0.7,----,----,----,----,----,----,5.356,0.00132,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.11111111111111112, 'Cl': 0.6296296296296297, 'Pb': 0.25925925925925924}"
LiCl-PbCl2,3679,----,0.4-0.6,----,----,----,----,----,----,5.062,0.00126,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15384615384615385, 'Cl': 0.6153846153846154, 'Pb': 0.23076923076923075}"
LiCl-PbCl2,3680,----,0.5-0.5,----,----,----,----,----,----,4.815,0.00128,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.6, 'Pb': 0.2}"
LiCl-PbCl2,3681,----,0.6-0.4,----,----,----,----,----,----,4.395,0.00115,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5833333333333334, 'Pb': 0.16666666666666669}"
LiCl-PbCl2,3682,----,0.7-0.3,----,----,----,----,----,----,2.937,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.30434782608695654, 'Cl': 0.5652173913043478, 'Pb': 0.13043478260869565}"
LiCl-RbCl,3683,----,0.0-1.0,----,----,----,----,----,----,3.0863,0.0008514,----,----,----,0.072,24602.33,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.5, 'Rb': 0.5}"
LiCl-RbCl,3684,----,0.25-0.75,----,----,----,----,----,----,,,----,----,----,0.058,25472.62,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.125, 'Cl': 0.5, 'Rb': 0.375}"
LiCl-RbCl,3685,----,0.5-0.5,----,----,----,----,----,----,2.6833,0.0007384,----,----,----,0.062,24229.95,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5, 'Rb': 0.25}"
LiCl-RbCl,3686,----,0.75-0.25,----,----,----,----,----,----,,,----,----,----,0.084,21171.39,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.375, 'Cl': 0.5, 'Rb': 0.125}"
LiCl-RbCl,3687,----,1.0-0.0,----,----,----,----,----,----,1.8721,0.0004243,----,----,----,0.05,25941.23,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Rb': 0.0}"
LiCl-SrCl2,3688,----,0.25-0.75,----,----,----,----,----,----,3.395,0.00075,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.09090909090909091, 'Cl': 0.6363636363636364, 'Sr': 0.2727272727272727}"
LiCl-SrCl2,3689,----,0.5-0.5,----,----,----,----,----,----,3.433,0.001,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.6, 'Sr': 0.2}"
LiCl-SrCl2,3690,----,0.75-0.25,----,----,----,----,----,----,2.571,0.000563,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3333333333333333, 'Cl': 0.5555555555555556, 'Sr': 0.1111111111111111}"
LiCl-SrCl2,3691,----,1.0-0.0,----,----,----,----,----,----,1.928,0.0004464,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Sr': 0.0}"
LiCl-UCl4,3692,----,0.0-1.0,----,----,----,----,----,----,5.2508,0.0019455,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.8, 'U': 0.2}"
LiCl-UCl4,3693,----,0.1476-0.8524,----,----,----,----,----,----,4.9573,0.0017139,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.03238830861055034, 'Cl': 0.7805670148336697, 'U': 0.18704467655577983}"
LiCl-UCl4,3694,----,0.2156-0.7844,----,----,----,----,----,----,4.6934,0.0014925,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.049526784893871176, 'Cl': 0.7702839290636773, 'U': 0.18018928604245152}"
LiCl-UCl4,3695,----,0.247-0.753,----,----,----,----,----,----,4.7589,0.001582,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.057994834468185014, 'Cl': 0.7652030993190889, 'U': 0.17680206621272598}"
LiCl-UCl4,3696,----,0.3804-0.6196,----,----,----,----,----,----,4.34,0.0012441,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0985798693894475, 'Cl': 0.7408520783663315, 'U': 0.16056805224422102}"
LiCl-UCl4,3697,----,0.464-0.536,----,----,----,----,----,----,4.0213,0.0009872,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1286031042128603, 'Cl': 0.7228381374722839, 'U': 0.14855875831485588}"
LiCl-UCl4,3698,----,0.5284-0.4716,----,----,----,----,----,----,4.1104,0.0011826,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15473819843036193, 'Cl': 0.7071570809417829, 'U': 0.13810472062785523}"
LiCl-UCl4,3699,----,0.5661-0.4339,----,----,----,----,----,----,3.8728,0.0009706,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.17145712814610656, 'Cl': 0.6971257231123361, 'U': 0.13141714874155738}"
LiCl-UCl4,3700,----,0.5836-0.4164,----,----,----,----,----,----,3.9311,0.0010748,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.17961344330912224, 'Cl': 0.6922319340145267, 'U': 0.1281546226763511}"
LiCl-UCl4,3701,----,0.6108-0.3892,----,----,----,----,----,----,3.9101,0.001099,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.19282737719409015, 'Cl': 0.6843035736835459, 'U': 0.12286904912236392}"
LiCl-UCl4,3702,----,0.6878-0.3122,----,----,----,----,----,----,3.6801,0.000999,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.23421644078185658, 'Cl': 0.6594701355308861, 'U': 0.10631342368725737}"
LiCl-UCl4,3703,----,0.7221-0.2779,----,----,----,----,----,----,3.5531,0.0009287,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25482584606697956, 'Cl': 0.6471044923598123, 'U': 0.09806966157320816}"
LiCl-UCl4,3704,----,0.7956-0.2044,----,----,----,----,----,----,3.3023,0.0008427,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3044543088933109, 'Cl': 0.6173274146640134, 'U': 0.07821827644267565}"
LiCl-UCl4,3705,----,0.8399-0.1601,----,----,----,----,----,----,3.1352,0.0008205,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.33862839172680725, 'Cl': 0.5968229649639157, 'U': 0.0645486433092771}"
LiCl-UCl4,3706,----,0.911-0.089,----,----,----,----,----,----,2.9249,0.0009446,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4018526687251875, 'Cl': 0.5588883987648875, 'U': 0.03925893250992501}"
LiCl-UCl4,3707,----,0.9169-0.0831,----,----,----,----,----,----,2.7263,0.00081,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.4076379318010047, 'Cl': 0.5554172409193971, 'U': 0.03694482727959809}"
LiCl-UCl4,3708,----,0.9434-0.0566,----,----,----,----,----,----,2.5977,0.0008176,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.434786616277998, 'Cl': 0.5391280302332012, 'U': 0.02608535348880081}"
LiCl-UCl4,3709,----,0.9621-0.0379,----,----,----,----,----,----,2.2016,0.000483,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.45517339262903916, 'Cl': 0.5268959644225766, 'U': 0.017930642948384354}"
LiCl-UCl4,3710,----,1.0-0.0,----,----,----,----,----,----,1.8102,0.0003472,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'U': 0.0}"
LiCl-ZnCl2,3711,----,0.0-1.0,----,----,----,----,----,----,2.8369,0.00052167,----,----,----,9.818700999999999e-05,96325.38,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.0, 'Cl': 0.6666666666666666, 'Zn': 0.3333333333333333}"
LiCl-ZnCl2,3712,----,0.052-0.948,----,----,----,----,----,----,2.7824,0.00048163,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.017639077340569877, 'Cl': 0.66078697421981, 'Zn': 0.32157394843962006}"
LiCl-ZnCl2,3713,----,0.099-0.901,----,----,----,----,----,----,2.7038,0.00042109,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.03412616339193381, 'Cl': 0.6552912788693553, 'Zn': 0.3105825577387108}"
LiCl-ZnCl2,3714,----,0.109-0.891,----,----,----,----,----,----,,,----,----,----,0.0004248,65879.02,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.03770321687997233, 'Cl': 0.6540989277066759, 'Zn': 0.30819785541335176}"
LiCl-ZnCl2,3715,----,0.186-0.814,----,----,----,----,----,----,2.7361,0.0005083,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.06609808102345417, 'Cl': 0.644633972992182, 'Zn': 0.2892679459843639}"
LiCl-ZnCl2,3716,----,0.204-0.796,----,----,----,----,----,----,2.7748,0.00052072,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.07296137339055793, 'Cl': 0.642346208869814, 'Zn': 0.284692417739628}"
LiCl-ZnCl2,3717,----,0.224-0.776,----,----,----,----,----,----,,,----,----,----,0.000724,57798.74,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.08069164265129683, 'Cl': 0.6397694524495676, 'Zn': 0.2795389048991354}"
LiCl-ZnCl2,3718,----,0.238-0.762,----,----,----,----,----,----,2.7263,0.00053488,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.08616944243301955, 'Cl': 0.6379435191889935, 'Zn': 0.27588703837798695}"
LiCl-ZnCl2,3719,----,0.3005-0.6995,----,----,----,----,----,----,2.7168,0.00054332,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.11131691053898869, 'Cl': 0.6295610298203371, 'Zn': 0.2591220596406742}"
LiCl-ZnCl2,3720,----,0.323-0.677,----,----,----,----,----,----,,,----,----,----,0.001164,51366.15,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.12065745237205827, 'Cl': 0.6264475158759806, 'Zn': 0.25289503175196115}"
LiCl-ZnCl2,3721,----,0.402-0.598,----,----,----,----,----,----,2.7188,0.00062145,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.15473441108545036, 'Cl': 0.6150885296381832, 'Zn': 0.23017705927636645}"
LiCl-ZnCl2,3722,----,0.43-0.57,----,----,----,----,----,----,,,----,----,----,0.004129,41895.51,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16731517509727628, 'Cl': 0.6108949416342412, 'Zn': 0.22178988326848248}"
LiCl-ZnCl2,3723,----,0.477-0.523,----,----,----,----,----,----,,,----,----,----,0.07933,24385.6,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.1890606420927467, 'Cl': 0.6036464526357511, 'Zn': 0.20729290527150218}"
LiCl-ZnCl2,3724,----,0.502-0.498,----,----,----,----,----,----,2.6138,0.0005681,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2009607686148919, 'Cl': 0.599679743795036, 'Zn': 0.19935948759007205}"
LiCl-ZnCl2,3725,----,0.563-0.437,----,----,----,----,----,----,,,----,----,----,0.06367,25812.36,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.23102174805088221, 'Cl': 0.5896594173163726, 'Zn': 0.1793188346327452}"
LiCl-ZnCl2,3726,----,0.601-0.399,----,----,----,----,----,----,2.5682,0.00058972,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25052105043768236, 'Cl': 0.5831596498541058, 'Zn': 0.16631929970821177}"
LiCl-ZnCl2,3727,----,0.655-0.345,----,----,----,----,----,----,,,----,----,----,0.08751,22255.07,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.27931769722814503, 'Cl': 0.5735607675906184, 'Zn': 0.1471215351812367}"
LiCl-ZnCl2,3728,----,0.706-0.294,----,----,----,----,----,----,2.4288,0.00054389,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.30775937227550126, 'Cl': 0.5640802092414996, 'Zn': 0.1281604184829991}"
LiCl-ZnCl2,3729,----,0.804-0.196,----,----,----,----,----,----,2.5643,0.00080647,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.366120218579235, 'Cl': 0.5446265938069217, 'Zn': 0.08925318761384335}"
LiCl-ZnCl2,3730,----,0.832-0.168,----,----,----,----,----,----,,,----,----,----,0.1138,19815.76,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3837638376383764, 'Cl': 0.5387453874538746, 'Zn': 0.0774907749077491}"
LiCl-ZnCl2,3731,----,0.9098-0.0902,----,----,----,----,----,----,2.021,0.00037939,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.435269352215099, 'Cl': 0.5215768825949669, 'Zn': 0.043153765189933975}"
LiCl-ZnCl2,3732,----,1.0-0.0,----,----,----,----,----,----,1.8514,0.00040345,----,----,----,0.118,18889.4,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.5, 'Cl': 0.5, 'Zn': 0.0}"
LiClO3,3733,----,Pure Salt,----,----,----,----,----,----,2.399,0.0007704,----,----,----,0.001979,32690.14,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.2, 'O': 0.6}"
LiClO3-LiNO3,3734,----,0.708-0.292,----,----,----,----,----,----,2.3553,0.0007379,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.20000000000000004, 'Cl': 0.14160000000000003, 'O': 0.6, 'N': 0.05840000000000001}"
LiClO3-LiNO3,3735,----,0.74-0.26,----,----,----,----,----,----,,,----,----,----,0.00162,35142.0,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.148, 'O': 0.6, 'N': 0.052000000000000005}"
LiClO3-LiNO3,3736,----,0.773-0.227,----,----,----,----,----,----,2.3745,0.0007657,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.15460000000000002, 'O': 0.6, 'N': 0.0454}"
LiClO3-LiNO3,3737,----,0.794-0.206,----,----,----,----,----,----,,,----,----,----,0.001848,34535.31,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.1588, 'O': 0.6, 'N': 0.0412}"
LiClO3-LiNO3,3738,----,0.829-0.171,----,----,----,----,----,----,2.399,0.0008018,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.1658, 'O': 0.6, 'N': 0.0342}"
LiClO3-LiNO3,3739,----,0.869-0.131,----,----,----,----,----,----,,,----,----,----,0.001444,35154.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.1738, 'O': 0.6, 'N': 0.0262}"
LiClO3-LiNO3,3740,----,0.892-0.108,----,----,----,----,----,----,2.3922,0.0007671,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.1784, 'O': 0.6, 'N': 0.0216}"
LiClO3-LiNO3,3741,----,0.918-0.082,----,----,----,----,----,----,,,----,----,----,0.001201,35489.28,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.1836, 'O': 0.6, 'N': 0.0164}"
LiClO3-LiNO3,3742,----,0.97-0.03,----,----,----,----,----,----,,,----,----,----,0.001811,33489.3,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.194, 'O': 0.6, 'N': 0.006}"
LiClO3-LiNO3,3743,----,1.0-0.0,----,----,----,----,----,----,2.399,0.0007704,----,----,----,0.001979,32690.14,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.2, 'O': 0.6, 'N': 0.0}"
LiClO3-LiOH,3744,----,0.924-0.076,----,----,----,----,----,----,2.3681,0.0008065,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.20627062706270624, 'Cl': 0.19059405940594057, 'O': 0.5874587458745875, 'H': 0.015676567656765675}"
LiClO3-LiOH,3745,----,1.0-0.0,----,----,----,----,----,----,2.399,0.0007704,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.2, 'O': 0.6, 'H': 0.0}"
LiClO4,3746,----,Pure Salt,----,----,----,----,----,----,2.337,0.000612,----,----,----,0.09436,19522.87,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.16666666666666666, 'Cl': 0.16666666666666666, 'O': 0.6666666666666666}"
LiClO4-LiNO3,3747,----,0.0-1.0,----,----,----,----,----,----,2.0739,0.0005561,----,----,----,0.08072,18860.95,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.0, 'O': 0.6, 'N': 0.2}"
LiClO4-LiNO3,3748,----,0.1-0.9,----,----,----,----,----,----,,,----,----,----,0.07891,19060.53,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.196078431372549, 'Cl': 0.0196078431372549, 'O': 0.6078431372549019, 'N': 0.1764705882352941}"
LiClO4-LiNO3,3749,----,0.25-0.75,----,----,----,----,----,----,2.1807,0.0006101,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.19047619047619047, 'Cl': 0.047619047619047616, 'O': 0.6190476190476191, 'N': 0.14285714285714285}"
LiClO4-LiNO3,3750,----,0.3-0.7,----,----,----,----,----,----,,,----,----,----,0.07617,19465.97,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18867924528301888, 'Cl': 0.05660377358490566, 'O': 0.6226415094339622, 'N': 0.1320754716981132}"
LiClO4-LiNO3,3751,----,0.465-0.535,----,----,----,----,----,----,2.2598,0.000629,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18298261665141813, 'Cl': 0.08508691674290943, 'O': 0.6340347666971637, 'N': 0.0978956999085087}"
LiClO4-LiNO3,3752,----,0.55-0.45,----,----,----,----,----,----,,,----,----,----,0.08188,19453.42,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18018018018018014, 'Cl': 0.0990990990990991, 'O': 0.6396396396396397, 'N': 0.08108108108108107}"
