System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
KCl-AlCl3,37,94.1281,0.667-0.333,905,10,Robelin 2004 [119],----,----,----,1.97,0.00061,960-1040,1,Morrey 1968 [97],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.2501875468867217, 'Cl': 0.6249062265566391, 'Al': 0.12490622655663915}"
KCl-AlCl3,38,89.6601,0.743-0.257,942,10,Robelin 2004 [119],----,----,----,,,----,----,----,0.0197,31900.0,,,,----,15*,Borisoglebskii 1980 [22],,,----,----,----,,,,,----,----,"{'K': 0.29554494828957834, 'Cl': 0.6022275258552108, 'Al': 0.10222752585521082}"
KCl-AlCl3,39,85.3097,0.817-0.183,972,10,Robelin 2004 [119],----,----,----,,,----,----,----,0.0285,29800.0,,,,----,15*,Borisoglebskii 1980 [22],,,----,----,----,,,,,----,----,"{'K': 0.3453085376162299, 'Cl': 0.577345731191885, 'Al': 0.07734573119188505}"
KCl-AlCl3,40,81.3121,0.885-0.115,1000,10,Robelin 2004 [119],----,----,----,,,----,----,----,0.0407,27700.0,,,,----,15*,Borisoglebskii 1980 [22],,,----,----,----,,,,,----,----,"{'K': 0.3968609865470852, 'Cl': 0.5515695067264574, 'Al': 0.0515695067264574}"
KCl-AlCl3,41,77.7847,0.945-0.055,1024,5*,Robelin 2004 [119],----,----,----,,,----,----,----,0.0529,26800.0,,,,----,15*,Borisoglebskii 1980 [22],,,----,----,----,,,,,----,----,"{'K': 0.44786729857819907, 'Cl': 0.5260663507109005, 'Al': 0.026066350710900476}"
KCl-NaCl,42,60.8961,0.1523-0.8477,1030,5*,Yin 2020 [153],----,----,----,2.14,0.000554,1065-1185,1,Van Artsdalen 1955 [144],0.0245,35900.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.07615, 'Cl': 0.5, 'Na': 0.42385}"
KCl-NaCl,43,62.8017,0.2706-0.7294,992,5*,Yin 2020 [153],----,----,----,2.14,0.000559,990-1185,1,Van Artsdalen 1955 [144],0.0223,36400.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.1353, 'Cl': 0.5, 'Na': 0.3647}"
KCl-NaCl,44,64.0566,0.3485-0.6515,966,5*,Yin 2020 [153],----,----,----,2.13,0.000558,990-1185,1,Van Artsdalen 1955 [144],0.0235,35500.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.17425, 'Cl': 0.5, 'Na': 0.32575}"
KCl-NaCl,45,66.2989,0.4877-0.5123,937,5*,Yin 2020 [153],----,----,----,2.13,0.000568,945-1170,1,Van Artsdalen 1955 [144],0.028,33500.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.24385, 'Cl': 0.5, 'Na': 0.25615}"
KCl-NaCl,46,67.9468,0.5900-0.4100,945,5*,Yin 2020 [153],----,----,----,2.13,0.000575,960-1170,1,Van Artsdalen 1955 [144],0.0321,32000.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.295, 'Cl': 0.5, 'Na': 0.205}"
