System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KCl-MgCl2,63,79.7162,0.75-0.25,842,10,Chartrand 2001 [35],----,----,----,2.08E+00,5.33E-04,1050-1120,1,Lillebuen 1969 [90],1.19E-01,1.89E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,64,77.9395,0.836-0.164,960,10,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.16E-01,1.93E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,65,77.0305,0.88-0.12,992,10,Chartrand 2001 [35],----,----,----,2.16E+00,6.06E-04,1080-1140,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,66,76.2041,0.92-0.08,1012,10,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.69E-01,1.60E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,67,75.9148,0.934-0.066,1040,10,Chartrand 2001 [35],----,----,----,2.14E+00,5.84E-04,1050-1140,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,68,317.4042,0.10-0.90,1088,10,Yingling 2023 [161],----,----,----,5.68E+00,1.18E-03,1128-1246,1,Desyatnik 1976 [45],----,----,-1.0987,1729,4.0987,1118-1265,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,69,290.4206,0.2-0.8,1051,10,Yingling 2023 [161],----,----,----,----,----,----,----,----,----,----,-1.2881,1947,0,1086-1267,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,70,282.3255,0.23-0.77,1039,10,Yingling 2023 [161],----,----,----,4.88E+00,7.89E-04,1084-1202,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,71,276.9288,0.25-0.75,1029,10,Yingling 2023 [161],----,----,----,4.86E+00,8.25E-04,1059-1147,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,72,263.4369,0.3-0.7,999,10,Yingling 2023 [161],----,----,----,----,----,----,----,----,----,----,-1.2779,1871,0,1033-1252,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
