System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
UCl3-UCl4,330,370.9777,0.25-0.75,837,5*,SALTDBLEAN-TC [156],----,----,----,5.83E+00,2.27E-03,957-1049,5,Katyshev 2001 [166],----,----,----,2670,0,945-1097,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,331,369.205,0.3-0.7,866,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-2.0699,2670,0,945-1097,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,332,365.6597,0.4-0.6,931,5*,SALTDBLEAN-TC [156],----,----,----,5.70E+00,1.98E-03,949-1012,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,333,364.2416,0.44-0.56,953,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.9342,2667,0,1055-1136,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,334,362.1144,0.5-0.5,982,5*,SALTDBLEAN-TC [156],----,----,----,6.16E+00,2.20E-03,960-1117,5,Katyshev 2001 [166],----,----,-1.8569,2623,0,1063-1156,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,335,360.3418,0.55-0.45,1001,5*,SALTDBLEAN-TC [156],----,----,----,6.36E+00,2.27E-03,1007-1105,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,336,358.5691,0.6-0.4,1018,5*,SALTDBLEAN-TC [156],----,----,----,6.31E+00,2.15E-03,1023-1186,5,Katyshev 2001 [166],----,----,-1.702,2510,0,1071-1132,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,337,357.8601,0.62-0.38,1025,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.8277,2676,0,1091-1167,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,338,355.0238,0.7-0.3,1047,5*,SALTDBLEAN-TC [156],----,----,----,6.2096,0.001892,1084-1180,5,Katyshev 2001 [166],----,----,-1.4953,2330,0,1092-1187,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,339,353.2512,0.75-0.25,1059,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.5054,2323,0,1102-1215,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,340,351.4785,0.8-0.2,1071,5*,SALTDBLEAN-TC [156],----,----,----,6.26E+00,1.67E-03,1090-1203,5,Katyshev 2001 [166],----,----,-1.4521,2290,0,1117-1202,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,341,349.7059,0.85-0.15,1082,5*,SALTDBLEAN-TC [156],----,----,----,6.2957,0.001614,1105-1207,5,Katyshev 2001 [166],----,----,-1.0548,1793,0,1113-1181,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,342,348.9968,0.87-0.13,1086,5*,SALTDBLEAN-TC [156],----,----,----,6.42E+00,1.62E-03,1134-1219,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,343,27.5443,0.10-0.90,1080,5*,Beilmann 2011 [162],----,----,----,2.40E+00,5.10E-04,1130-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,344,29.1492,0.20-0.80,1034,5*,Beilmann 2011 [162],----,----,----,2.43E+00,5.12E-04,1130-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,345,30.754,0.30-0.70,982,5*,Beilmann 2011 [162],----,----,----,2.47E+00,5.28E-04,1130-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,346,32.3589,0.40-0.60,930,5*,Beilmann 2011 [162],----,----,----,2.53E+00,5.55E-04,1130-1320,1,Janz 1974 [69],0.116,26800,----,----,----,973-1073,10,Cohen 1957 [42],----,----,----,----,----,125,-0.0666,----,----,10,Powers 1963 [114]
NaF-LiF,347,33.9638,0.50-0.50,1007,5*,Beilmann 2011 [162],----,----,----,2.56,0.00056,1130-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,348,35.5687,0.60-0.40,1074,5*,Beilmann 2011 [162],----,----,----,2.58E+00,5.58E-04,1130-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,349,37.1735,0.70-0.30,1132,5*,Beilmann 2011 [162],----,----,----,2.58E+00,5.43E-04,1230-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,350,38.7784,0.80-0.20,1184,5*,Beilmann 2011 [162],----,----,----,2.68E+00,6.04E-04,1280-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-LiF,351,40.3833,0.90-0.10,1229,5*,Beilmann 2011 [162],----,----,----,2.92E+00,7.79E-04,1280-1320,1,Janz 1974 [69],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,352,281.4274,0.10-0.90,1341,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,3.51E-01,2.31E+04,----,----,----,1338-1446,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,353,254.823,0.20-0.80,1300,5*,Benes 2010 [15],----,----,----,7.13E+00,1.11E-03,1270-1337,2,Desyatnik 1981 [46],0.498,17800,----,----,----,1307-1382,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,354,228.2187,0.30-0.70,1234,5*,Benes 2010 [15],----,----,----,6.96,0.00119,1226-1311,2,Desyatnik 1981 [46],5.18E-01,1.64E+04,----,----,----,1257-1401,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,355,201.6143,0.40-0.60,1132,5*,Benes 2010 [15],----,----,----,6.54E+00,1.12E-03,1082-1278,2,Desyatnik 1981 [46],0.634,13200,----,----,----,1201-1308,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,356,175.0099,0.50-0.50,1042,5*,Benes 2010 [15],----,----,----,6.04,0.000981,1027-1276,2,Desyatnik 1981 [46],5.58E-01,1.35E+04,----,----,----,1194-1349,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,357,148.4056,0.60-0.40,978,5*,Benes 2010 [15],----,----,----,5.55E+00,9.57E-04,1058-1284,2,Desyatnik 1981 [46],4.17E-01,1.54E+04,----,----,----,1157-1373,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,358,121.8012,0.70-0.30,975,5*,Benes 2010 [15],----,----,----,5.00E+00,9.01E-04,1115-1289,2,Desyatnik 1981 [46],0.336,16700,----,----,----,1055-1370,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,359,95.1969,0.80-0.20,975,5*,Benes 2010 [15],----,----,----,4.43E+00,8.57E-04,1232-1304,2,Desyatnik 1981 [46],0.397,15100,----,----,----,1160-1305,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-ThF4,360,68.5925,0.90-0.10,1191,5*,Benes 2010 [15],----,----,----,3.75,0.000805,1279-1306,2,Desyatnik 1981 [46],4.11E-01,1.32E+04,----,----,----,1209-1343,10,Desyatnik 1981 [46],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,361,205.2088,0.40-0.60,1048,5*,Benes 2010 [15],----,----,----,6.58E+00,1.04E-03,973-1073,4,Blanke 1958a [16],1.32E-01,3.91E+04,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,362,167.668,0.538-0.462,976,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,0.197,35900,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,363,188.8867,0.46-0.54,962,5*,Benes 2010 [15],----,----,----,6.82E+00,1.48E-03,973-1073,4,Blanke 1958a [16],1.07E-01,3.88E+04,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,364,156.2426,0.58-0.42,978,5*,Benes 2010 [15],----,----,----,6.08E+00,1.16E-03,973-1073,4,Blanke 1958a [16],0.147,36300,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,365,144.0011,0.625-0.375,951,5*,Benes 2010 [15],----,----,----,----,----,----,----,----,6.67E-02,4.23E+04,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,366,132.5756,0.667-0.333,933,5*,Benes 2010 [15],----,----,----,5.51,0.0013,923-1373,3,Cohen 1954 [41],1.81E-01,3.27E+04,----,----,----,973-1173,10,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-UF4,367,107.2764,0.76-0.24,900,5*,Benes 2010 [15],----,----,----,4.78E+00,8.20E-04,973-1073,4,Blanke 1958 [16],4.33E-02,4.57E+04,----,----,----,973-1073,15,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,368,129.6488,0.30-0.70,993,5*,Thoma 1960 [139],----,----,----,4.79,0.00119,1053-1133,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,369,117.1258,0.40-0.60,887,5*,Thoma 1960 [139],----,----,----,4.34,0.000961,1033-1133,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,370,104.6029,0.50-0.50,783.2,5*,Cohen 1954 [41],----,----,----,4.06,0.000896,1033-1133,1.5,Artemov 1990 [5],0.02993,32435.32905,----,----,----,873-1073,10,Cohen 1957 [42],----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,371,100.846,0.53-0.47,794,5*,Thoma 1960 [139],----,----,----,----,----,----,----,----,0.0767,33200,----,----,----,873-1073,10,Cohen 1957 [42],----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,372,92.0799,0.60-0.40,783,5*,Thoma 1960 [139],----,----,----,3.86,0.000832,993-1033,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,373,79.557,0.70-0.30,1033,5*,Thoma 1960 [139],----,----,----,3.66,0.000761,1013-1095,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,374,67.0341,0.80-0.20,1025,5*,Thoma 1960 [139],----,----,----,3.41,0.000746,953-1033,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-ZrF4,375,54.5111,0.90-0.10,1201,5*,Thoma 1960 [139],----,----,----,3.02,0.000607,1043-1103,1.5,Artemov 1990 [5],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,376,45.207,0.3589-0.6411,673,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,0.00275,74100,----,----,----,973-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,377,45.0007,0.40-0.60,621,10,Robelin 2013 [120],----,----,----,2.54,0.00052,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,378,44.8651,0.427-0.573,631,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,0.00128,74700,----,----,----,973-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,379,44.6994,0.46-0.54,642,10,Robelin 2013 [120],----,----,----,2.54,0.000515,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,380,44.609,0.478-0.522,646,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,0.0234,47900,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,381,44.4986,0.50-0.50,647,10,Robelin 2013 [120],----,----,----,2.51,0.000505,873-1073,4,Blanke 1958 [16],0.0292,45100,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,382,44.3982,0.52-0.48,645,10,Robelin 2013 [120],----,----,----,2.56,0.00053,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,383,44.353,0.529-0.471,643,10,Robelin 2013 [120],----,----,----,2.38,0.000325,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,384,44.2179,0.5559-0.4441,626,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,0.0431,39500,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,385,44.1471,0.57-0.43,610,10,Robelin 2013 [120],1673,----,Jerden 2019 [70],----,----,----,----,----,0.035,43000,----,----,----,873-1073,10,Cohen 1957 [42],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,386,44.0969,0.58-0.42,612,10,Robelin 2013 [120],----,----,----,2.53E+00,4.90E-04,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,387,43.9965,0.60-0.40,728,10,Robelin 2013 [120],----,----,----,2.58E+00,5.30E-04,873-1073,4,Blanke 1958 [16],0.0658,36200,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,388,43.7957,0.64-0.36,845,10,Robelin 2013 [120],----,----,----,2.55E+00,5.00E-04,873-1073,4,Blanke 1958 [16],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,389,43.6601,0.667-0.333,860,10,Robelin 2013 [120],----,----,----,2.45E+00,3.85E-04,873-1073,4,Blanke 1958 [16],1.44E-01,3.01E+04,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,390,43.503,0.6983-0.3017,846,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,2.21E-01,2.27E+04,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,391,43.4944,0.70-0.30,851,10,Robelin 2013 [120],----,----,----,2.55E+00,5.05E-04,873-1073,4,Blanke 1958 [16],2.47E-01,2.21E+04,----,----,----,873-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaF-BeF2,392,43.3458,0.7296-0.2704,957,10,Robelin 2013 [120],----,----,----,----,----,----,----,----,1.06E-01,2.95E+04,----,----,----,973-1073,20,Blanke 1958 [17],----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,393,69.3203,0.9-0.1,----,----,----,----,----,----,2.35E+00,5.28E-04,1093-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,394,80.1977,0.8-0.2,----,----,----,----,----,----,2.69E+00,6.20E-04,1093-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,395,91.0752,0.7-0.3,----,----,----,----,----,----,3.02E+00,7.31E-04,1033-1213,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,396,101.9527,0.6-0.4,----,----,----,----,----,----,3.27E+00,7.65E-04,1033-1233,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,397,112.8302,0.5-0.5,----,----,----,----,----,----,3.61E+00,8.75E-04,1053-1233,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,398,123.7077,0.4-0.6,----,----,----,----,----,----,3.91E+00,9.07E-04,1053-1233,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,399,134.5852,0.3-0.7,----,----,----,----,----,----,4.26E+00,9.88E-04,1095-1250,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ZrF4,400,145.4626,0.2-0.8,----,----,----,----,----,----,4.63E+00,1.07E-03,1137-1242,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,401,83.8179,0.9-0.1,----,----,----,----,----,----,2.52E+00,7.27E-04,1018-1158,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,402,93.0846,0.8-0.2,----,----,----,----,----,----,2.6122,0.000656,964-1191,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,403,102.3512,0.7-0.3,----,----,----,----,----,----,2.84E+00,7.44E-04,926-1148,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,404,111.6178,0.6-0.4,----,----,----,----,----,----,2.97E+00,7.36E-04,861-1145,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,405,120.8845,0.5-0.5,----,----,----,----,----,----,3.14E+00,7.54E-04,972-1143,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,406,130.1511,0.4-0.6,----,----,----,----,----,----,3.41E+00,7.91E-04,864-1018,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,407,134.7844,0.35-0.65,----,----,----,----,----,----,3.61E+00,8.28E-04,902-1013,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-ZrF4,408,148.6844,0.2-0.8,----,----,----,----,----,----,4.17E+00,8.73E-04,1063-1124,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-NaCl,409,58.4527,0.1667-0.1667-0.6666,976,10,Lu 2020 [163],----,----,----,2.07E+00,5.32E-04,1028-1168,10,Fellner 1979 [55],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-NaCl,410,50.43,0.1667-0.6666-0.1667,752,10,Lu 2020 [163],----,----,----,2.04E+00,4.87E-04,1088-1173,10,Fellner 1979 [55],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-NaCl,411,58.4627,0.3333-0.3333-0.3334,823,10,Lu 2020 [163],----,----,----,2.03E+00,5.05E-04,993-1123,10,Fellner 1979 [55],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-NaCl,412,66.5054,0.6666-0.1667-0.1667,925,10,Lu 2020 [163],----,----,----,1.91E+00,4.27E-04,1073-1193,10,Fellner 1979 [55],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,413,111.2795,0.17-0.62-0.21,772,5*,SALTDBLEAN-TC [156],----,----,----,3.0445,0.00061,959-1154,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,414,103.3802,0.3-0.53-0.17,720,5*,SALTDBLEAN-TC [156],----,----,----,3.01E+00,7.02E-04,974-1101,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,415,99.1439,0.45-0.41-0.14,769,5*,SALTDBLEAN-TC [156],----,----,----,2.74E+00,6.22E-04,959-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,416,91.8878,0.6-0.3-0.1,752,5*,SALTDBLEAN-TC [156],----,----,----,2.57E+00,6.68E-04,960-1155,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,417,84.6316,0.75-0.19-0.06,911,5*,SALTDBLEAN-TC [156],----,----,----,2.31E+00,5.46E-04,1051-1230,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,418,80.3954,0.9-0.07-0.03,1003,5*,SALTDBLEAN-TC [156],----,----,----,2.19E+00,5.61E-04,1025-1158,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,419,173.6311,0.16-0.42-0.42,875,5*,SALTDBLEAN-TC [156],----,----,----,4.19E+00,7.86E-04,938-1099,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,420,157.7391,0.3-0.35-0.35,699,5*,SALTDBLEAN-TC [156],----,----,----,3.54E+00,6.13E-04,890-1084,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,421,141.847,0.45-0.27-0.28,808,5*,SALTDBLEAN-TC [156],----,----,----,3.00E+00,5.16E-04,917-1073,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,422,122.0872,0.6-0.2-0.2,815,5*,SALTDBLEAN-TC [156],----,----,----,2.81E+00,6.49E-04,915-1109,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,423,102.3273,0.75-0.12-0.13,893,5*,SALTDBLEAN-TC [156],----,----,----,2.60E+00,7.22E-04,961-1103,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,424,86.4353,0.9-0.05-0.05,1001,5*,SALTDBLEAN-TC [156],----,----,----,2.15E+00,4.99E-04,1093-1316,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,425,240.4937,0.15-0.21-0.64,1013,5*,SALTDBLEAN-TC [156],----,----,----,4.4034,0.0007,977-1103,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,426,212.098,0.3-0.17-0.53,920,5*,SALTDBLEAN-TC [156],----,----,----,3.88E+00,6.51E-04,1048-1217,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,427,180.6823,0.45-0.14-0.41,809,5*,SALTDBLEAN-TC [156],----,----,----,3.74E+00,9.54E-04,816-1069,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,428,152.2866,0.6-0.1-0.3,868,5*,SALTDBLEAN-TC [156],----,----,----,3.26E+00,8.18E-04,918-1088,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,429,121.1925,0.76-0.06-0.18,846,5*,SALTDBLEAN-TC [156],----,----,----,2.62E+00,5.43E-04,834-1077,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl3,430,92.4751,0.9-0.03-0.07,998,5*,SALTDBLEAN-TC [156],----,----,----,2.50E+00,7.55E-04,1123-1275,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,431,118.0814,0.15-0.64-0.21,818,5*,SALTDBLEAN-TC [156],----,----,----,3.10E+00,7.32E-04,812-937,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,432,109.4072,0.3-0.53-0.17,808,5*,SALTDBLEAN-TC [156],----,----,----,2.84E+00,6.01E-04,867-981,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,433,104.1074,0.45-0.41-0.14,792,5*,SALTDBLEAN-TC [156],----,----,----,2.78E+00,6.97E-04,876-983,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,434,95.7546,0.61-0.29-0.1,893,5*,SALTDBLEAN-TC [156],----,----,----,2.66E+00,7.34E-04,917-1019,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,435,86.7588,0.75-0.19-0.06,956,5*,SALTDBLEAN-TC [156],----,----,----,2.43E+00,6.28E-04,978-1101,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,436,81.459,0.9-0.07-0.03,1004,5*,SALTDBLEAN-TC [156],----,----,----,2.24E+00,5.69E-04,1030-1119,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,437,188.5214,0.16-0.42-0.42,827,5*,SALTDBLEAN-TC [156],----,----,----,3.37E+00,8.74E-04,746-912,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,438,170.1476,0.3-0.35-0.35,788,5*,SALTDBLEAN-TC [156],----,----,----,3.46E+00,8.30E-04,764-924,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,439,151.7739,0.45-0.27-0.28,759,5*,SALTDBLEAN-TC [156],----,----,----,3.19E+00,7.04E-04,818-945,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,440,129.1778,0.6-0.2-0.2,822,5*,SALTDBLEAN-TC [156],----,----,----,2.97E+00,6.07E-04,846-1002,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
